Date,Open,High,Low,Close,Adj Close,Volume,Soma,Signal
2017-08-30,163.800003,163.889999,162.610001,163.350006,158.458023,27269600,561523836500,-
2017-08-31,163.639999,164.520004,163.479996,164.0,159.088562,26785100,561550621600,+
2017-09-01,164.800003,164.940002,163.630005,164.050003,159.137039,16591100,561567212700,-
2017-09-05,163.75,164.25,160.559998,162.080002,157.226044,29468500,561596681200,-
2017-09-06,162.710007,162.990005,160.520004,161.910004,157.061127,21651700,561618332900,-
2017-09-07,162.089996,162.240005,160.360001,161.259995,156.430603,21928500,561640261400,-
2017-09-08,160.860001,161.149994,158.529999,158.630005,153.879349,28611500,561668872900,-
2017-09-11,160.5,162.050003,159.889999,161.5,156.663422,31580800,561700453700,+
2017-09-12,162.610001,163.960007,158.770004,160.860001,156.042587,71714000,561772167700,-
2017-09-13,159.869995,159.960007,157.910004,159.649994,154.86879,44907400,561817075100,-
2017-09-14,158.990005,159.399994,158.089996,158.279999,153.539841,23760700,561840835800,-
2017-09-15,158.470001,160.970001,158.0,159.880005,155.091934,49114600,561889950400,+
2017-09-18,160.110001,160.5,158.0,158.669998,153.918137,28269400,561918219800,-
2017-09-19,159.509995,159.770004,158.440002,158.729996,153.976364,20810600,561939030400,-
2017-09-20,157.899994,158.259995,153.830002,156.070007,151.396042,52951400,561991981800,-
2017-09-21,155.800003,155.800003,152.75,153.389999,148.796295,37511700,562029493500,-
2017-09-22,151.539993,152.270004,150.559998,151.889999,147.341217,46645400,562076138900,+
2017-09-25,149.990005,151.830002,149.160004,150.550003,146.041321,44387300,562120526200,+
2017-09-26,151.779999,153.919998,151.690002,153.139999,148.553772,36660000,562157186200,+
2017-09-27,153.800003,154.720001,153.539993,154.229996,149.61113,25504200,562182690400,+
2017-09-28,153.889999,154.279999,152.699997,153.279999,148.689575,22005500,562204695900,-
2017-09-29,153.210007,154.130005,152.0,154.119995,149.50444,26299800,562230995700,+
2017-10-02,154.259995,154.449997,152.720001,153.809998,149.20372,18698800,562249694500,-
2017-10-03,154.009995,155.089996,153.910004,154.479996,149.853638,16230300,562265924800,+
